Frame,Person_Id,Time
0,3,0:0.0
0,4,0:0.0
1,3,0:0.04
1,4,0:0.04
2,3,0:0.08
2,4,0:0.08
3,3,0:0.12
3,4,0:0.12
4,3,0:0.16
4,4,0:0.16
5,3,0:0.2
5,4,0:0.2
6,3,0:0.24
6,4,0:0.24
7,3,0:0.28
7,4,0:0.28
8,3,0:0.32
8,4,0:0.32
9,3,0:0.36
9,4,0:0.36
10,3,0:0.4
10,4,0:0.4
11,3,0:0.44
11,4,0:0.44
12,3,0:0.48
12,4,0:0.48
13,3,0:0.52
13,4,0:0.52
14,3,0:0.56
14,4,0:0.56
15,3,0:0.6
15,4,0:0.6
16,3,0:0.64
16,4,0:0.64
17,3,0:0.68
17,4,0:0.68
18,3,0:0.72
18,4,0:0.72
19,3,0:0.76
19,4,0:0.76
20,3,0:0.8
20,4,0:0.8
21,3,0:0.84
21,4,0:0.84
21,7,0:0.84
21,15,0:0.84
22,3,0:0.88
22,4,0:0.88
22,7,0:0.88
22,15,0:0.88
23,3,0:0.92
23,4,0:0.92
24,3,0:0.96
24,4,0:0.96
24,7,0:0.96
24,15,0:0.96
25,3,0:1.0
25,4,0:1.0
25,7,0:1.0
25,15,0:1.0
26,3,0:1.04
26,4,0:1.04
26,7,0:1.04
26,15,0:1.04
27,3,0:1.08
27,4,0:1.08
28,3,0:1.12
28,4,0:1.12
28,7,0:1.12
28,15,0:1.12
29,3,0:1.16
29,4,0:1.16
29,7,0:1.16
29,15,0:1.16
30,3,0:1.2
30,4,0:1.2
30,7,0:1.2
30,15,0:1.2
31,3,0:1.24
31,4,0:1.24
31,7,0:1.24
31,15,0:1.24
32,3,0:1.28
32,4,0:1.28
32,7,0:1.28
32,15,0:1.28
33,3,0:1.32
33,4,0:1.32
33,7,0:1.32
33,15,0:1.32
34,3,0:1.36
34,4,0:1.36
34,7,0:1.36
34,15,0:1.36
35,3,0:1.4
35,4,0:1.4
35,7,0:1.4
35,15,0:1.4
36,3,0:1.44
36,4,0:1.44
36,7,0:1.44
36,15,0:1.44
37,3,0:1.48
37,4,0:1.48
37,7,0:1.48
37,15,0:1.48
38,3,0:1.52
38,4,0:1.52
38,7,0:1.52
38,15,0:1.52
39,3,0:1.56
39,4,0:1.56
39,7,0:1.56
39,15,0:1.56
40,3,0:1.6
40,4,0:1.6
40,7,0:1.6
40,15,0:1.6
41,3,0:1.64
41,4,0:1.64
41,7,0:1.64
41,15,0:1.64
42,3,0:1.68
42,4,0:1.68
42,7,0:1.68
42,15,0:1.68
43,3,0:1.72
43,4,0:1.72
43,7,0:1.72
43,15,0:1.72
44,3,0:1.76
44,4,0:1.76
44,7,0:1.76
44,15,0:1.76
45,3,0:1.8
45,4,0:1.8
45,7,0:1.8
45,15,0:1.8
46,3,0:1.84
46,4,0:1.84
46,7,0:1.84
46,15,0:1.84
47,3,0:1.88
47,4,0:1.88
47,7,0:1.88
47,15,0:1.88
48,3,0:1.92
48,4,0:1.92
48,7,0:1.92
48,15,0:1.92
49,3,0:1.96
49,4,0:1.96
49,7,0:1.96
49,15,0:1.96
50,3,0:2.0
50,4,0:2.0
50,7,0:2.0
50,15,0:2.0
51,3,0:2.04
51,4,0:2.04
51,7,0:2.04
51,15,0:2.04
52,3,0:2.08
52,4,0:2.08
52,7,0:2.08
52,15,0:2.08
53,3,0:2.12
53,4,0:2.12
53,7,0:2.12
53,15,0:2.12
54,3,0:2.16
54,4,0:2.16
54,7,0:2.16
54,15,0:2.16
55,3,0:2.2
55,4,0:2.2
55,7,0:2.2
55,15,0:2.2
56,3,0:2.24
56,4,0:2.24
56,7,0:2.24
56,15,0:2.24
57,3,0:2.28
57,4,0:2.28
58,3,0:2.32
58,4,0:2.32
59,3,0:2.36
59,4,0:2.36
60,3,0:2.4
60,4,0:2.4
61,3,0:2.44
61,4,0:2.44
62,3,0:2.48
62,4,0:2.48
63,3,0:2.52
63,4,0:2.52
64,3,0:2.56
64,4,0:2.56
65,3,0:2.6
65,4,0:2.6
66,3,0:2.64
66,4,0:2.64
67,3,0:2.68
67,4,0:2.68
68,3,0:2.72
68,4,0:2.72
69,3,0:2.76
69,4,0:2.76
70,3,0:2.8
70,4,0:2.8
71,3,0:2.84
71,4,0:2.84
72,3,0:2.88
72,4,0:2.88
72,13,0:2.88
72,16,0:2.88
73,3,0:2.92
73,4,0:2.92
73,13,0:2.92
73,16,0:2.92
74,3,0:2.96
74,4,0:2.96
74,13,0:2.96
74,16,0:2.96
75,3,0:3.0
75,4,0:3.0
75,13,0:3.0
75,16,0:3.0
76,3,0:3.04
76,4,0:3.04
76,13,0:3.04
76,16,0:3.04
77,3,0:3.08
77,4,0:3.08
77,13,0:3.08
77,16,0:3.08
78,3,0:3.12
78,4,0:3.12
78,13,0:3.12
78,16,0:3.12
79,3,0:3.16
79,4,0:3.16
79,13,0:3.16
79,16,0:3.16
80,3,0:3.2
80,4,0:3.2
80,13,0:3.2
80,16,0:3.2
81,3,0:3.24
81,4,0:3.24
